Event1    	Event2    	Tree      	Model	lnML          	ML            	mu1 	mu1star	nu1 	nu1star	mu2 	mu2star	nu2 	nu2star
21        	101       	1         	I    	-24.0620627223	3.548e-11     	1.0292	1.0292	0   	0   	4.3735	4.3735	0   	0   
22        	44        	1         	I    	-90.2472235878	6.3992e-40    	10.526	10.526	6.8977	6.8977	13.51	13.51	5.383	5.383
22        	46        	1         	I    	-75.4260228666	1.7494e-33    	10.737	10.737	6.1815	6.1815	8.5573	8.5573	5.4948	5.4948
22        	60        	1         	I    	-76.5621666342	5.6166e-34    	10.631	10.631	6.5173	6.5173	9.6913	9.6913	0   	0   
8         	23        	1         	I    	-99.5767662156	5.6802e-44    	24.601	24.601	4.3919	4.3919	1   	1   	0.99333	0.99333
13        	23        	1         	I    	-53.6193010714	5.1693e-24    	8.566	8.566	15.134	15.134	1.0001	1.0001	0   	0   
15        	23        	1         	I    	-54.9739052018	1.3339e-24    	8.3707	8.3707	45.166	45.166	1.0001	1.0001	0   	0   
22        	23        	1         	I    	-50.4947984921	1.1759e-22    	10.694	10.694	6.3121	6.3121	0.99991	0.99991	0.9831	0.9831
23        	24        	1         	I    	-21.0804112947	6.9967e-10    	1.0001	1.0001	0.94044	0.94044	1.0001	1.0001	0   	0   
23        	43        	1         	I    	-38.1237325677	2.7738e-17    	1.0001	1.0001	0   	0   	4.2908	4.2908	14.755	14.755
23        	44        	1         	I    	-54.6454292097	1.8526e-24    	1   	1   	1.0439	1.0439	13.291	13.291	5.8019	5.8019
23        	45        	1         	I    	-21.0804112947	6.9967e-10    	1.0001	1.0001	0.94044	0.94044	1.0001	1.0001	0   	0   
23        	47        	1         	I    	-21.0804112947	6.9967e-10    	1.0001	1.0001	0.94044	0.94044	1.0001	1.0001	0   	0   
8         	24        	1         	I    	-99.5767662156	5.6802e-44    	24.601	24.601	4.3919	4.3919	1   	1   	0.99333	0.99333
13        	24        	1         	I    	-53.6193010714	5.1693e-24    	8.566	8.566	15.134	15.134	1.0001	1.0001	0   	0   
15        	24        	1         	I    	-54.9739052018	1.3339e-24    	8.3707	8.3707	45.166	45.166	1.0001	1.0001	0   	0   
22        	24        	1         	I    	-50.4947984921	1.1759e-22    	10.694	10.694	6.3121	6.3121	0.99991	0.99991	0.9831	0.9831
24        	43        	1         	I    	-38.1237325677	2.7738e-17    	1.0001	1.0001	0   	0   	4.2908	4.2908	14.755	14.755
24        	44        	1         	I    	-54.6454292097	1.8526e-24    	1   	1   	1.0439	1.0439	13.291	13.291	5.8019	5.8019
24        	45        	1         	I    	-21.0804112947	6.9967e-10    	1.0001	1.0001	0.94044	0.94044	1.0001	1.0001	0   	0   
24        	47        	1         	I    	-21.0804112947	6.9967e-10    	1.0001	1.0001	0.94044	0.94044	1.0001	1.0001	0   	0   
26        	27        	1         	I    	-11.5560503112	9.5779e-06    	1.0097	1.0097	0   	0   	1.0057	1.0057	0   	0   
26        	28        	1         	I    	-11.5560503112	9.5779e-06    	1.0097	1.0097	0   	0   	1.0057	1.0057	0   	0   
27        	28        	1         	I    	-11.5560503112	9.5779e-06    	1.0097	1.0097	0   	0   	1.0057	1.0057	0   	0   
4         	43        	1         	I    	-33.3105465071	3.4152e-15    	1.0334	1.0334	0   	0   	4.282	4.282	15.185	15.185
21        	43        	1         	I    	-33.3105465071	3.4152e-15    	1.0334	1.0334	0   	0   	4.282	4.282	15.185	15.185
22        	43        	1         	I    	-68.2018179638	2.4006e-30    	10.719	10.719	6.2365	6.2365	4.282	4.282	15.186	15.186
43        	44        	1         	I    	-72.3465105295	3.8046e-32    	4.282	4.282	15.183	15.183	13.322	13.322	5.7381	5.7381
43        	45        	1         	I    	-38.1237325694	2.7738e-17    	4.2908	4.2908	14.755	14.755	1.0001	1.0001	0   	0   
43        	47        	1         	I    	-38.1237325694	2.7738e-17    	4.2908	4.2908	14.755	14.755	1.0001	1.0001	0   	0   
44        	46        	1         	I    	-79.5663197962	2.7848e-35    	13.345	13.345	5.6917	5.6917	8.5575	8.5575	5.4944	5.4944
44        	60        	1         	I    	-80.7283016776	8.7125e-36    	13.211	13.211	5.9757	5.9757	9.6917	9.6917	0   	0   
8         	45        	1         	I    	-99.5767662156	5.6802e-44    	24.601	24.601	4.3919	4.3919	1   	1   	0.99333	0.99333
13        	45        	1         	I    	-53.6193010714	5.1693e-24    	8.566	8.566	15.134	15.134	1.0001	1.0001	0   	0   
15        	45        	1         	I    	-54.9739052018	1.3339e-24    	8.3707	8.3707	45.166	45.166	1.0001	1.0001	0   	0   
22        	45        	1         	I    	-50.4947984921	1.1759e-22    	10.694	10.694	6.3121	6.3121	0.99991	0.99991	0.9831	0.9831
44        	45        	1         	I    	-54.6454282995	1.8526e-24    	13.291	13.291	5.802	5.802	1.0001	1.0001	1.0159	1.0159
45        	47        	1         	I    	-21.0804112947	6.9967e-10    	1.0001	1.0001	0.94044	0.94044	1.0001	1.0001	0   	0   
46        	114       	1         	I    	-132.1631599215	4.0019e-58    	8.522	8.522	5.5992	5.5992	1.7116	1.7116	98.62	98.62
8         	47        	1         	I    	-99.5767662156	5.6802e-44    	24.601	24.601	4.3919	4.3919	1   	1   	0.99333	0.99333
13        	47        	1         	I    	-53.6193010714	5.1693e-24    	8.566	8.566	15.134	15.134	1.0001	1.0001	0   	0   
15        	47        	1         	I    	-54.9739052018	1.3339e-24    	8.3707	8.3707	45.166	45.166	1.0001	1.0001	0   	0   
22        	47        	1         	I    	-50.4947984921	1.1759e-22    	10.694	10.694	6.3121	6.3121	0.99991	0.99991	0.9831	0.9831
44        	47        	1         	I    	-54.6454282995	1.8526e-24    	13.291	13.291	5.802	5.802	1.0001	1.0001	1.0159	1.0159
48        	49        	1         	I    	-154.7431992226	6.25e-68      	7.9067	7.9067	21.418	21.418	8.9665	8.9665	19.306	19.306
48        	50        	1         	I    	-154.7372889764	6.2871e-68    	7.8507	7.8507	21.469	21.469	9.0396	9.0396	19.262	19.262
48        	119       	1         	I    	-85.3234269492	8.8005e-38    	8.2803	8.2803	21.095	21.095	2.0201	2.0201	0   	0   
48        	120       	1         	I    	-85.3234269492	8.8005e-38    	8.2803	8.2803	21.095	21.095	2.0201	2.0201	0   	0   
48        	121       	1         	I    	-85.3234269492	8.8005e-38    	8.2803	8.2803	21.095	21.095	2.0201	2.0201	0   	0   
48        	122       	1         	I    	-85.3234269492	8.8005e-38    	8.2803	8.2803	21.095	21.095	2.0201	2.0201	0   	0   
48        	123       	1         	I    	-85.3234269492	8.8005e-38    	8.2803	8.2803	21.095	21.095	2.0201	2.0201	0   	0   
48        	124       	1         	I    	-85.3234269492	8.8005e-38    	8.2803	8.2803	21.095	21.095	2.0201	2.0201	0   	0   
48        	125       	1         	I    	-85.3234269492	8.8005e-38    	8.2803	8.2803	21.095	21.095	2.0201	2.0201	0   	0   
48        	126       	1         	I    	-85.3234269492	8.8005e-38    	8.2803	8.2803	21.095	21.095	2.0201	2.0201	0   	0   
48        	127       	1         	I    	-85.3234269492	8.8005e-38    	8.2803	8.2803	21.095	21.095	2.0201	2.0201	0   	0   
49        	50        	1         	I    	-149.2750295567	1.4814e-65    	9.0331	9.0331	19.266	19.266	7.8625	7.8625	20.117	20.117
49        	119       	1         	I    	-79.8430822741	2.1115e-35    	8.2877	8.2877	19.771	19.771	2.0201	2.0201	0   	0   
49        	120       	1         	I    	-79.8430822741	2.1115e-35    	8.2877	8.2877	19.771	19.771	2.0201	2.0201	0   	0   
49        	121       	1         	I    	-79.8430822741	2.1115e-35    	8.2877	8.2877	19.771	19.771	2.0201	2.0201	0   	0   
49        	122       	1         	I    	-79.8430822741	2.1115e-35    	8.2877	8.2877	19.771	19.771	2.0201	2.0201	0   	0   
