Event1    	Event2    	Tree      	Model	lnML          	ML            	mu1 	mu1star	nu1 	nu1star	mu2 	mu2star	nu2 	nu2star
15        	23        	1         	b    	-51.9144220639	2.8435e-23    	9.0003	1000	9.0003	1000	1   	1   	1   	1   
22        	23        	1         	b    	-46.0144810161	1.0379e-20    	9.0003	1000	9.0003	1000	1   	1   	1   	1   
23        	24        	1         	b    	-13.2063335447	1.8389e-06    	0   	1000	0   	1000	1   	1   	1   	1   
23        	43        	1         	b    	-35.9181722144	2.5173e-16    	0   	14.538	0   	14.538	5   	5   	5   	5   
23        	44        	1         	b    	-53.3108721341	7.0369e-24    	0   	5.6439	0   	5.6439	12  	12  	12  	12  
23        	45        	1         	b    	-13.2063335447	1.8389e-06    	0   	1000	0   	1000	1   	1   	1   	1   
23        	47        	1         	b    	-13.2063335447	1.8389e-06    	0   	1000	0   	1000	1   	1   	1   	1   
8         	24        	1         	b    	-98.0740766787	2.5525e-43    	19.001	1000	19.001	1000	1   	1   	1   	1   
13        	24        	1         	b    	-49.0078932939	5.2017e-22    	8.0003	1000	8.0003	1000	1   	1   	1   	1   
15        	24        	1         	b    	-51.9144220639	2.8435e-23    	9.0003	1000	9.0003	1000	1   	1   	1   	1   
22        	24        	1         	b    	-46.0144810161	1.0379e-20    	9.0003	1000	9.0003	1000	1   	1   	1   	1   
24        	43        	1         	b    	-35.9181722144	2.5173e-16    	0   	14.538	0   	14.538	5   	5   	5   	5   
24        	44        	1         	b    	-53.3108721341	7.0369e-24    	0   	5.6439	0   	5.6439	12  	12  	12  	12  
24        	45        	1         	b    	-13.2063335447	1.8389e-06    	0   	1000	0   	1000	1   	1   	1   	1   
24        	47        	1         	b    	-13.2063335447	1.8389e-06    	0   	1000	0   	1000	1   	1   	1   	1   
26        	27        	1         	b    	-5.5276600264 	0.0039753     	0   	1000	0   	1000	1   	1   	1   	1   
26        	28        	1         	b    	-5.5276600264 	0.0039753     	0   	1000	0   	1000	1   	1   	1   	1   
27        	28        	1         	b    	-5.5276600264 	0.0039753     	0   	1000	0   	1000	1   	1   	1   	1   
4         	43        	1         	b    	-30.6754622062	4.7623e-14    	0   	23.608	0   	23.608	5   	5   	5   	5   
21        	43        	1         	b    	-30.6754622062	4.7623e-14    	0   	23.608	0   	23.608	5   	5   	5   	5   
22        	43        	1         	b    	-67.1799327373	6.67e-30      	8.3519	47.568	8.3519	47.568	5   	5   	5   	5   
43        	44        	1         	b    	-72.3377447151	3.8381e-32    	3.5314	13.29	3.5314	13.29	12  	12  	12  	12  
43        	45        	1         	b    	-33.2208371950	3.7357e-15    	4.0001	1000	4.0001	1000	1   	1   	1   	1   
43        	47        	1         	b    	-33.2208371950	3.7357e-15    	4.0001	1000	4.0001	1000	1   	1   	1   	1   
44        	46        	1         	b    	-77.7058966600	1.7896e-34    	8.8968	39.681	8.8968	39.681	8   	8   	8   	8   
44        	60        	1         	b    	-81.2234479419	5.3101e-36    	9.8546	34.592	9.8546	34.592	8   	8   	8   	8   
8         	45        	1         	b    	-98.0740766787	2.5525e-43    	19.001	1000	19.001	1000	1   	1   	1   	1   
13        	45        	1         	b    	-49.0078932939	5.2017e-22    	8.0003	1000	8.0003	1000	1   	1   	1   	1   
15        	45        	1         	b    	-51.9144220639	2.8435e-23    	9.0003	1000	9.0003	1000	1   	1   	1   	1   
22        	45        	1         	b    	-46.0144810161	1.0379e-20    	9.0003	1000	9.0003	1000	1   	1   	1   	1   
44        	45        	1         	b    	-50.6076137450	1.0505e-22    	11  	1000	11  	1000	1   	1   	1   	1   
45        	47        	1         	b    	-13.2063335447	1.8389e-06    	0   	1000	0   	1000	1   	1   	1   	1   
