Event1    	Event2    	Tree      	Model	lnML          	ML            	mu1 	mu1star	nu1 	nu1star	mu2 	mu2star	nu2 	nu2star
21        	100       	1         	a    	-20.6552128456	1.0704e-09    	1   	1   	1   	1   	3.0027	1000	3.0027	1000
21        	101       	1         	a    	-20.6552128456	1.0704e-09    	1   	1   	1   	1   	3.0027	1000	3.0027	1000
22        	44        	1         	a    	-54.1866018632	2.9313e-24    	10  	10  	10  	10  	2.0151	1000	2.0151	1000
22        	46        	1         	a    	-72.7604179256	2.5151e-32    	10  	10  	10  	10  	5.3906	41.401	5.3906	41.401
22        	60        	1         	a    	-73.6283264900	1.0559e-32    	10  	10  	10  	10  	4.3749	46.681	4.3749	46.681
8         	23        	1         	a    	-100.4909894392	2.2768e-44    	20  	20  	20  	20  	0   	4.4299	0   	4.4299
13        	23        	1         	a    	-51.0415443492	6.8067e-23    	9   	9   	9   	9   	0   	14.967	0   	14.967
15        	23        	1         	a    	-53.4699399601	6.0021e-24    	10  	10  	10  	10  	0   	21.715	0   	21.715
22        	23        	1         	a    	-48.8293823330	6.2183e-22    	10  	10  	10  	10  	0   	6.1103	0   	6.1103
23        	24        	1         	a    	-13.2063335447	1.8389e-06    	1   	1   	1   	1   	0   	1000	0   	1000
23        	43        	1         	a    	-33.2208371950	3.7357e-15    	1   	1   	1   	1   	4.0001	1000	4.0001	1000
23        	44        	1         	a    	-50.6076137450	1.0505e-22    	1   	1   	1   	1   	11  	1000	11  	1000
23        	45        	1         	a    	-13.2063335447	1.8389e-06    	1   	1   	1   	1   	0   	1000	0   	1000
23        	47        	1         	a    	-13.2063335447	1.8389e-06    	1   	1   	1   	1   	0   	1000	0   	1000
8         	24        	1         	a    	-100.4909894392	2.2768e-44    	20  	20  	20  	20  	0   	4.4299	0   	4.4299
13        	24        	1         	a    	-51.0415443492	6.8067e-23    	9   	9   	9   	9   	0   	14.967	0   	14.967
15        	24        	1         	a    	-53.4699399601	6.0021e-24    	10  	10  	10  	10  	0   	21.715	0   	21.715
22        	24        	1         	a    	-48.8293823330	6.2183e-22    	10  	10  	10  	10  	0   	6.1103	0   	6.1103
24        	43        	1         	a    	-33.2208371950	3.7357e-15    	1   	1   	1   	1   	4.0001	1000	4.0001	1000
24        	44        	1         	a    	-50.6076137450	1.0505e-22    	1   	1   	1   	1   	11  	1000	11  	1000
24        	45        	1         	a    	-13.2063335447	1.8389e-06    	1   	1   	1   	1   	0   	1000	0   	1000
24        	47        	1         	a    	-13.2063335447	1.8389e-06    	1   	1   	1   	1   	0   	1000	0   	1000
26        	27        	1         	a    	-5.5276600264 	0.0039753     	1   	1   	1   	1   	0   	1000	0   	1000
26        	28        	1         	a    	-5.5276600264 	0.0039753     	1   	1   	1   	1   	0   	1000	0   	1000
27        	28        	1         	a    	-5.5276600264 	0.0039753     	1   	1   	1   	1   	0   	1000	0   	1000
4         	43        	1         	a    	-30.2926894475	6.9832e-14    	1   	1   	1   	1   	4.0036	1000	4.0036	1000
21        	43        	1         	a    	-30.2926894475	6.9832e-14    	1   	1   	1   	1   	4.0036	1000	4.0036	1000
22        	43        	1         	a    	-67.7950611551	3.6056e-30    	10  	10  	10  	10  	3.4762	14.601	3.4762	14.601
43        	44        	1         	a    	-71.8984991117	5.955e-32     	5   	5   	5   	5   	10.44	47.43	10.44	47.43
43        	45        	1         	a    	-35.9181722145	2.5173e-16    	5   	5   	5   	5   	0   	14.538	0   	14.538
43        	47        	1         	a    	-35.9181722145	2.5173e-16    	5   	5   	5   	5   	0   	14.538	0   	14.538
44        	46        	1         	a    	-77.5953778305	1.9987e-34    	12  	12  	12  	12  	5.47	34.917	5.47	34.917
44        	60        	1         	a    	-78.5467071636	7.7197e-35    	12  	12  	12  	12  	4.4396	40.399	4.4396	40.399
8         	45        	1         	a    	-100.4909894392	2.2768e-44    	20  	20  	20  	20  	0   	4.4299	0   	4.4299
13        	45        	1         	a    	-51.0415443492	6.8067e-23    	9   	9   	9   	9   	0   	14.967	0   	14.967
15        	45        	1         	a    	-53.4699399601	6.0021e-24    	10  	10  	10  	10  	0   	21.715	0   	21.715
22        	45        	1         	a    	-48.8293823330	6.2183e-22    	10  	10  	10  	10  	0   	6.1103	0   	6.1103
44        	45        	1         	a    	-53.3108721341	7.0369e-24    	12  	12  	12  	12  	0   	5.644	0   	5.644
45        	47        	1         	a    	-13.2063335447	1.8389e-06    	1   	1   	1   	1   	0   	1000	0   	1000
46        	114       	1         	a    	-162.7160990840	2.1542e-71    	8   	8   	8   	8   	42.253	0   	42.253	0   
8         	47        	1         	a    	-100.4909894392	2.2768e-44    	20  	20  	20  	20  	0   	4.4299	0   	4.4299
13        	47        	1         	a    	-51.0415443492	6.8067e-23    	9   	9   	9   	9   	0   	14.967	0   	14.967
15        	47        	1         	a    	-53.4699399601	6.0021e-24    	10  	10  	10  	10  	0   	21.715	0   	21.715
