Event1    	Event2    	Tree      	Model	lnML          	ML            	mu1 	mu1star	nu1 	nu1star	mu2 	mu2star	nu2 	nu2star
81        	90        	1         	B    	-28.5351133307	4.0491e-13    	1.0786	15.355	0   	0   	4.2925	4.2925	0   	0   
82        	90        	1         	B    	-28.5351133307	4.0491e-13    	1.0786	15.355	0   	0   	4.2925	4.2925	0   	0   
90        	91        	1         	B    	-20.1858018914	1.7117e-09    	0   	1000	0   	0   	4.2931	4.2931	0   	0   
90        	92        	1         	B    	-20.1858018914	1.7117e-09    	0   	1000	0   	0   	4.2931	4.2931	0   	0   
90        	103       	1         	B    	-21.6238750462	4.0632e-10    	3.2162	1000	0   	0   	1.0049	1.0049	0   	0   
51        	91        	1         	B    	-59.1476841377	2.0535e-26    	10.263	121.93	14.129	167.84	4.297	4.297	0   	0   
80        	91        	1         	B    	-28.5351133307	4.0491e-13    	1.0786	15.355	0   	0   	4.2925	4.2925	0   	0   
81        	91        	1         	B    	-28.5351133307	4.0491e-13    	1.0786	15.355	0   	0   	4.2925	4.2925	0   	0   
82        	91        	1         	B    	-28.5351133307	4.0491e-13    	1.0786	15.355	0   	0   	4.2925	4.2925	0   	0   
91        	92        	1         	B    	-20.1858018914	1.7117e-09    	0   	1000	0   	0   	4.2931	4.2931	0   	0   
91        	103       	1         	B    	-21.6238750462	4.0632e-10    	3.2162	1000	0   	0   	1.0049	1.0049	0   	0   
51        	92        	1         	B    	-59.1476841377	2.0535e-26    	10.263	121.93	14.129	167.84	4.297	4.297	0   	0   
80        	92        	1         	B    	-28.5351133307	4.0491e-13    	1.0786	15.355	0   	0   	4.2925	4.2925	0   	0   
81        	92        	1         	B    	-28.5351133307	4.0491e-13    	1.0786	15.355	0   	0   	4.2925	4.2925	0   	0   
82        	92        	1         	B    	-28.5351133307	4.0491e-13    	1.0786	15.355	0   	0   	4.2925	4.2925	0   	0   
92        	103       	1         	B    	-21.6238750462	4.0632e-10    	3.2162	1000	0   	0   	1.0049	1.0049	0   	0   
93        	94        	1         	B    	-18.6611784766	7.8624e-09    	0   	1000	0   	1000	2.3311	2.3311	50.331	50.331
93        	97        	1         	B    	-34.2802295851	1.295e-15     	0   	59.294	0   	1000	4.5123	4.5123	52.18	52.18
93        	98        	1         	B    	-18.6611784766	7.8624e-09    	0   	1000	0   	1000	2.3311	2.3311	50.331	50.331
94        	97        	1         	B    	-34.2802295851	1.295e-15     	0   	59.294	0   	1000	4.5123	4.5123	52.18	52.18
94        	98        	1         	B    	-18.6611784766	7.8624e-09    	0   	1000	0   	1000	2.3311	2.3311	50.331	50.331
95        	100       	1         	B    	-18.6891749008	7.6453e-09    	0   	1000	0   	0   	4.3717	4.3717	0   	0   
95        	101       	1         	B    	-18.6891749008	7.6453e-09    	0   	1000	0   	0   	4.3717	4.3717	0   	0   
96        	99        	1         	B    	-36.3520706339	1.6312e-16    	0   	1000	0   	1000	4.1259	4.1259	10.559	10.559
96        	102       	1         	B    	-36.3520706339	1.6312e-16    	0   	1000	0   	1000	4.1259	4.1259	10.559	10.559
15        	97        	1         	B    	-74.1004025380	6.5857e-33    	6.6299	37.09	48.673	272.29	4.236	4.236	53.842	53.842
97        	98        	1         	B    	-34.1402897589	1.4896e-15    	2.4153	1000	13.451	1000	2.3313	2.3313	50.612	50.612
99        	102       	1         	B    	-36.3520706339	1.6312e-16    	0   	1000	0   	1000	4.1259	4.1259	10.559	10.559
100       	101       	1         	B    	-18.6891749008	7.6453e-09    	0   	1000	0   	0   	4.3717	4.3717	0   	0   
26        	104       	1         	B    	-46.7395656480	5.0265e-21    	0   	22.924	0   	0   	9.4682	9.4682	0   	0   
27        	104       	1         	B    	-46.7395656480	5.0265e-21    	0   	22.924	0   	0   	9.4682	9.4682	0   	0   
