Event1    	Event2    	Tree      	Model	lnML          	ML            	mu1 	mu1star	nu1 	nu1star	mu2 	mu2star	nu2 	nu2star
22        	44        	1         	A    	-53.9661362935	3.6543e-24    	10.736	10.736	6.1843	6.1843	1.8441	1000	2.853	1000
22        	46        	1         	A    	-72.6131472223	2.9141e-32    	10.706	10.706	6.2767	6.2767	5.3946	41.261	5.3816	41.162
22        	60        	1         	A    	-72.4207340619	3.5324e-32    	10.729	10.729	6.2052	6.2052	5.2948	50.304	0   	0   
8         	23        	1         	A    	-98.0964705399	2.496e-43     	24.59	24.59	4.3989	4.3989	0   	4.3977	0   	1000
13        	23        	1         	A    	-50.9142704633	7.7306e-23    	8.5607	8.5607	15.269	15.269	0   	15.028	0   	1000
15        	23        	1         	A    	-51.8726243989	2.9649e-23    	8.3624	8.3624	46.151	46.151	0   	22.502	0   	1000
22        	23        	1         	A    	-48.6878917751	7.1634e-22    	10.689	10.689	6.3288	6.3288	0   	6.0993	0   	1000
23        	24        	1         	A    	-13.2062660398	1.839e-06     	1.0001	1.0001	1.0001e-07	1.0001e-07	0   	1000	0   	1000
23        	43        	1         	A    	-32.5689930320	7.1691e-15    	1.0001	1.0001	0   	0   	3.2182	1000	14.759	1000
23        	44        	1         	A    	-50.3111303317	1.413e-22     	1.0001	1.0001	0   	0   	12.081	1000	5.8065	480.63
23        	45        	1         	A    	-13.2062660398	1.839e-06     	1.0001	1.0001	1.0001e-07	1.0001e-07	0   	1000	0   	1000
23        	47        	1         	A    	-13.2062660398	1.839e-06     	1.0001	1.0001	1.0001e-07	1.0001e-07	0   	1000	0   	1000
8         	24        	1         	A    	-98.0964705399	2.496e-43     	24.59	24.59	4.3989	4.3989	0   	4.3977	0   	1000
13        	24        	1         	A    	-50.9142704633	7.7306e-23    	8.5607	8.5607	15.269	15.269	0   	15.028	0   	1000
15        	24        	1         	A    	-51.8726243989	2.9649e-23    	8.3624	8.3624	46.151	46.151	0   	22.502	0   	1000
22        	24        	1         	A    	-48.6878917751	7.1634e-22    	10.689	10.689	6.3288	6.3288	0   	6.0993	0   	1000
24        	43        	1         	A    	-32.5689930320	7.1691e-15    	1.0001	1.0001	0   	0   	3.2182	1000	14.759	1000
24        	44        	1         	A    	-50.3111303317	1.413e-22     	1.0001	1.0001	0   	0   	12.081	1000	5.8065	480.63
24        	45        	1         	A    	-13.2062660398	1.839e-06     	1.0001	1.0001	1.0001e-07	1.0001e-07	0   	1000	0   	1000
24        	47        	1         	A    	-13.2062660398	1.839e-06     	1.0001	1.0001	1.0001e-07	1.0001e-07	0   	1000	0   	1000
26        	27        	1         	A    	-5.5195031610 	0.0040078     	1.0082	1.0082	0   	0   	0   	1000	0   	0   
26        	28        	1         	A    	-5.5195031610 	0.0040078     	1.0082	1.0082	0   	0   	0   	1000	0   	0   
27        	28        	1         	A    	-5.5195031610 	0.0040078     	1.0082	1.0082	0   	0   	0   	1000	0   	0   
4         	43        	1         	A    	-29.6225806786	1.3648e-13    	1.0317	1.0317	0   	0   	3.3853	1000	12.554	1000
21        	43        	1         	A    	-29.6225806786	1.3648e-13    	1.0317	1.0317	0   	0   	3.3853	1000	12.554	1000
22        	43        	1         	A    	-66.8253624754	9.5085e-30    	10.709	10.709	6.2652	6.2652	2.5097	14.574	15.181	88.154
43        	44        	1         	A    	-71.2099238972	1.1856e-31    	4.2988	4.2988	14.385	14.385	11.426	47.545	5.8736	24.441
43        	45        	1         	A    	-35.4465841673	4.0341e-16    	4.2898	4.2898	14.802	14.802	0   	14.576	0   	1000
43        	47        	1         	A    	-35.4465841673	4.0341e-16    	4.2898	4.2898	14.802	14.802	0   	14.576	0   	1000
44        	46        	1         	A    	-77.1951401824	2.9825e-34    	13.302	13.302	5.7777	5.7777	5.4914	34.696	5.4007	34.124
44        	60        	1         	A    	-77.1096684104	3.2486e-34    	13.33	13.33	5.7214	5.7214	5.392	42.829	0   	0   
8         	45        	1         	A    	-98.0964705399	2.496e-43     	24.59	24.59	4.3989	4.3989	0   	4.3977	0   	1000
13        	45        	1         	A    	-50.9142704633	7.7306e-23    	8.5607	8.5607	15.269	15.269	0   	15.028	0   	1000
15        	45        	1         	A    	-51.8726243989	2.9649e-23    	8.3624	8.3624	46.151	46.151	0   	22.502	0   	1000
22        	45        	1         	A    	-48.6878917751	7.1634e-22    	10.689	10.689	6.3288	6.3288	0   	6.0993	0   	1000
44        	45        	1         	A    	-52.9198086111	1.0404e-23    	13.283	13.283	5.8182	5.8182	0   	5.6236	0   	1000
45        	47        	1         	A    	-13.2062660398	1.839e-06     	1.0001	1.0001	1.0001e-07	1.0001e-07	0   	1000	0   	1000
46        	114       	1         	A    	-132.2830620725	3.5497e-58    	8.5361	8.5361	5.5559	5.5559	1.7337	0   	98.274	0   
8         	47        	1         	A    	-98.0964705399	2.496e-43     	24.59	24.59	4.3989	4.3989	0   	4.3977	0   	1000
13        	47        	1         	A    	-50.9142704633	7.7306e-23    	8.5607	8.5607	15.269	15.269	0   	15.028	0   	1000
15        	47        	1         	A    	-51.8726243989	2.9649e-23    	8.3624	8.3624	46.151	46.151	0   	22.502	0   	1000
22        	47        	1         	A    	-48.6878917751	7.1634e-22    	10.689	10.689	6.3288	6.3288	0   	6.0993	0   	1000
44        	47        	1         	A    	-52.9198086111	1.0404e-23    	13.283	13.283	5.8182	5.8182	0   	5.6236	0   	1000
48        	49        	1         	A    	-77.9494236653	1.4028e-34    	8.8913	8.8913	20.982	20.982	1e-07	1000	4.2767e-06	1000
48        	50        	1         	A    	-77.9494236653	1.4028e-34    	8.8913	8.8913	20.982	20.982	1e-07	1000	4.2767e-06	1000
48        	119       	1         	A    	-85.1327027717	1.065e-37     	8.28	8.28	21.096	21.096	0   	2.2223	0   	0   
48        	120       	1         	A    	-85.1327027717	1.065e-37     	8.28	8.28	21.096	21.096	0   	2.2223	0   	0   
48        	121       	1         	A    	-85.1327027717	1.065e-37     	8.28	8.28	21.096	21.096	0   	2.2223	0   	0   
48        	122       	1         	A    	-85.1327027717	1.065e-37     	8.28	8.28	21.096	21.096	0   	2.2223	0   	0   
48        	123       	1         	A    	-85.1327027717	1.065e-37     	8.28	8.28	21.096	21.096	0   	2.2223	0   	0   
48        	124       	1         	A    	-85.1327027717	1.065e-37     	8.28	8.28	21.096	21.096	0   	2.2223	0   	0   
48        	125       	1         	A    	-85.1327027717	1.065e-37     	8.28	8.28	21.096	21.096	0   	2.2223	0   	0   
48        	126       	1         	A    	-85.1327027717	1.065e-37     	8.28	8.28	21.096	21.096	0   	2.2223	0   	0   
48        	127       	1         	A    	-85.1327027717	1.065e-37     	8.28	8.28	21.096	21.096	0   	2.2223	0   	0   
