Event1    	Event2    	Tree      	Model	lnML          	ML            	mu1 	mu1star	nu1 	nu1star	mu2 	mu2star	nu2 	nu2star
63        	66        	1         	L    	-48.5924301481	7.8809e-22    	9.5148	-   	16.065	-   	0   	1000	0   	1000
63        	67        	1         	L    	-48.5924301481	7.8809e-22    	9.5148	-   	16.065	-   	0   	1000	0   	1000
63        	80        	1         	L    	-54.7190847204	1.7211e-24    	6.2988	1000	16.139	1000	11.545	1.1047	0   	0   
63        	81        	1         	L    	-54.7190847204	1.7211e-24    	6.2988	1000	16.139	1000	11.545	1.1047	0   	0   
63        	82        	1         	L    	-54.7190847204	1.7211e-24    	6.2988	1000	16.139	1000	11.545	1.1047	0   	0   
44        	64        	1         	L    	-93.8072282940	1.8199e-41    	5.4075	14.221	4.0752	10.718	9.3713	0   	16.181	0   
64        	65        	1         	L    	-48.5924301481	7.8809e-22    	9.5148	-   	16.065	-   	0   	1000	0   	1000
64        	66        	1         	L    	-48.5924301481	7.8809e-22    	9.5148	-   	16.065	-   	0   	1000	0   	1000
64        	67        	1         	L    	-48.5924301481	7.8809e-22    	9.5148	-   	16.065	-   	0   	1000	0   	1000
64        	80        	1         	L    	-54.7190847204	1.7211e-24    	6.2988	1000	16.139	1000	11.545	1.1047	0   	0   
64        	81        	1         	L    	-54.7190847204	1.7211e-24    	6.2988	1000	16.139	1000	11.545	1.1047	0   	0   
64        	82        	1         	L    	-54.7190847204	1.7211e-24    	6.2988	1000	16.139	1000	11.545	1.1047	0   	0   
44        	65        	1         	L    	-93.8072282940	1.8199e-41    	5.4075	14.221	4.0752	10.718	9.3713	0   	16.181	0   
65        	66        	1         	L    	-48.5924301481	7.8809e-22    	9.5148	-   	16.065	-   	0   	1000	0   	1000
65        	67        	1         	L    	-48.5924301481	7.8809e-22    	9.5148	-   	16.065	-   	0   	1000	0   	1000
65        	80        	1         	L    	-54.7190847204	1.7211e-24    	6.2988	1000	16.139	1000	11.545	1.1047	0   	0   
65        	81        	1         	L    	-54.7190847204	1.7211e-24    	6.2988	1000	16.139	1000	11.545	1.1047	0   	0   
65        	82        	1         	L    	-54.7190847204	1.7211e-24    	6.2988	1000	16.139	1000	11.545	1.1047	0   	0   
