source	target	interaction	Weight
4	21	ia	3.29225954572623
4	43	ia	2.10851829616048
4	60	ia	1.85980632142137
4	95	ia	2.23017974223641
4	100	ia	2.23017974223641
4	101	ia	2.23017974223641
7	8	IA	9.24687675531829
7	16	ib	2.69550947222651
7	23	ib	2.73945162736302
7	24	ib	2.73945162736302
7	45	ib	2.73945162736302
7	47	ib	2.73945162736302
8	16	ib	2.23995467203419
8	22	ib	5.86012091359876
8	23	ib	2.28408018256642
8	24	ib	2.28408018256642
8	44	ib	6.54287537369659
8	45	ib	2.28408018256642
8	47	ib	2.28408018256642
8	51	ia	1.84254323186577
11	16	ib	2.93666664104825
11	22	ia	9.35300846252288
11	23	ib	2.98046831546874
11	24	ib	2.98046831546874
11	44	ia	8.81304366453459
11	45	ib	2.98046831546874
11	46	ia	5.72862312810593
11	47	ib	2.98046831546874
12	13	ib	2.2429837652687
12	15	ib	2.22069217241641
12	43	ib	2.2429837652687
12	63	ia	3.06268275223751
12	64	ia	3.06268275223751
12	65	ia	3.06268275223751
12	66	ia	3.06268275223751
12	67	ia	3.06268275223751
13	15	ib	14.096801452957
13	16	ia	4.26066503980392
13	23	ib	2.68006156001969
13	24	ib	2.68006156001969
13	43	ia	5.87909718238547
13	44	ia	2.089802630034
13	45	ib	2.68006156001969
13	47	ib	2.68006156001969
15	16	ia	4.78015361397564
15	23	ib	2.6272720591144
15	24	ib	2.6272720591144
15	43	ia	3.6066003047069
15	45	ib	2.6272720591144
15	47	ib	2.6272720591144
15	97	iI	2.54166437400805
16	22	ia	2.58335949266172
16	23	ia	4.09761631556753
16	24	ia	4.09761631556753
16	43	ia	2.93666664104825
16	44	ia	2.5145625189237
16	45	ia	4.09761631556753
16	47	ia	4.09761631556753
21	43	ia	2.10851829616048
21	60	ia	1.85980632142137
21	95	ia	2.23017974223641
21	100	ia	2.23017974223641
21	101	ia	2.23017974223641
22	23	ib	2.6272720591144
22	24	ib	2.6272720591144
22	44	ia	16.9531148091623
22	45	ib	2.6272720591144
22	46	ib	1.87975520445363
22	47	ib	2.6272720591144
22	60	ia	2.61083391563547
23	24	ia	4.14056146454494
23	43	ia	2.98046831546874
23	44	ia	2.53655496822957
23	45	ia	4.14056146454494
23	47	ia	4.14056146454494
24	43	ia	2.98046831546874
24	44	ia	2.53655496822957
24	45	ia	4.14056146454494
24	47	ia	4.14056146454494
26	27	ia	3.29447838657733
26	28	ia	3.29447838657733
26	86	ia	2.11081038795293
26	87	ia	2.11081038795293
26	104	ib	1.90868484030278
27	28	ia	3.29447838657733
27	86	ia	2.11081038795293
27	87	ia	2.11081038795293
27	104	ib	1.90868484030278
28	86	ia	2.11081038795293
28	87	ia	2.11081038795293
28	104	ib	1.90868484030278
43	45	ib	2.98046831546874
43	47	ib	2.98046831546874
44	45	ib	2.53655496822957
44	46	ia	1.58922276662279
44	47	ib	2.53655496822957
44	60	ia	2.36471736200179
44	114	iI	13.6250684460218
45	47	ia	4.14056146454494
46	114	iI	13.3785121354194
48	49	ia	30.5307672574934
48	50	ia	30.5307672574934
49	50	ia	30.5744657795017
51	89	ia	1.91328433605512
51	90	ia	1.91328433605512
51	91	ia	1.91328433605512
51	92	ia	1.91328433605512
57	58	ia	3.43297363384094
57	60	ia	2.00771164620291
58	60	ia	2.00771164620291
59	112	iI	3.00235154510379
59	113	iI	4.48399376961395
59	115	iI	4.48399376961395
59	116	iI	4.48399376961395
59	117	iI	4.48399376961395
59	118	iI	3.00235154510379
61	62	ia	3.06560255921901
61	78	ia	2.41060897686307
62	78	ia	2.41060897686307
63	64	ia	24.8554257923904
63	65	ia	24.8554257923904
63	66	ia	24.8554257923904
63	67	ia	24.8554257923904
63	80	IL	1.90903692340427
63	81	IL	1.90903692340427
63	82	IL	1.90903692340427
64	65	ia	24.8554257923904
64	66	ia	24.8554257923904
64	67	ia	24.8554257923904
64	80	IL	1.90903692340427
64	81	IL	1.90903692340427
64	82	IL	1.90903692340427
65	66	ia	24.8554257923904
65	67	ia	24.8554257923904
65	80	IL	1.90903692340427
65	81	IL	1.90903692340427
65	82	IL	1.90903692340427
66	67	ia	24.8554257923904
66	80	IL	1.90903692340427
66	81	IL	1.90903692340427
66	82	IL	1.90903692340427
67	80	IL	1.90903692340427
67	81	IL	1.90903692340427
67	82	IL	1.90903692340427
68	69	ia	5.98171569157347
68	70	ia	5.98171569157347
68	71	ia	5.98171569157347
68	72	ia	5.98171569157347
68	73	ia	5.98171569157347
68	74	ia	5.98171569157347
68	75	ia	5.98171569157347
68	76	ia	5.98171569157347
68	77	ia	5.98171569157347
68	78	ib	3.49566508819754
69	70	ia	5.98171569157347
69	71	ia	5.98171569157347
69	72	ia	5.98171569157347
69	73	ia	5.98171569157347
69	74	ia	5.98171569157347
69	75	ia	5.98171569157347
69	76	ia	5.98171569157347
69	77	ia	5.98171569157347
69	78	ib	3.49566508819754
70	71	ia	5.98171569157347
70	72	ia	5.98171569157347
70	73	ia	5.98171569157347
70	74	ia	5.98171569157347
70	75	ia	5.98171569157347
70	76	ia	5.98171569157347
70	77	ia	5.98171569157347
70	78	ib	3.49566508819754
71	72	ia	5.98171569157347
71	73	ia	5.98171569157347
71	74	ia	5.98171569157347
71	75	ia	5.98171569157347
71	76	ia	5.98171569157347
71	77	ia	5.98171569157347
71	78	ib	3.49566508819754
72	73	ia	5.98171569157347
72	74	ia	5.98171569157347
72	75	ia	5.98171569157347
72	76	ia	5.98171569157347
72	77	ia	5.98171569157347
72	78	ib	3.49566508819754
73	74	ia	5.98171569157347
73	75	ia	5.98171569157347
