Event1	Event2	Tree	Model	lnML	ML	mu1	mu1star	nu1	nu1star	mu2	mu2star	nu2	nu2star
7	16	1	a	-64.9597155504	6.1426e-29	8	8	8	8	2.247	9.0962	2.247	9.0962
7	16	1	b	-60.7226971863	4.2508e-27	7.0009	1000	7.0009	1000	3	3	3	3
7	16	1	l	-60.3724157919	6.0338e-27	7.0009	1000	7.0009	1000	3.3718	0	3.3718	0
7	16	1	I	-64.5541662478	9.2147e-29	8.9941	8.9941	0	0	3.0004	3.0004	1e-07	1e-07
7	16	1	A	-64.0260063462	1.5626e-28	8.9917	8.9917	0	0	2.2482	9.0701	2.2482e-07	9.0701e-07
7	16	1	B	-59.9038933352	9.6398e-27	7.8703	1000	7.8703e-07	1e-04	3.0005	3.0005	0	0
7	16	1	L	-59.5526197123	1.3697e-26	7.8713	1000	7.8713e-07	1e-04	3.3734	0	0	0
7	22	1	i	-79.1891216081	4.0607e-35	8	8	8	8	10	10	10	10
7	22	1	a	-77.7413981338	1.7272e-34	8	8	8	8	7.8109	28.897	7.8109	28.897
7	22	1	b	-77.8774748953	1.5074e-34	9.4278	0	9.4278	0	10	10	10	10
7	22	1	l	-76.429751421	6.4118e-34	9.4278	0	9.4278	0	7.8109	28.897	7.8109	28.897
7	22	1	I	-78.093256019	1.2149e-34	9.0307	9.0307	0	0	10.648	10.648	6.4613	6.4613
7	22	1	A	-76.7545497131	4.6336e-34	9.026	9.026	0	0	8.0946	28.843	6.462	23.026
7	22	1	B	-76.5932170678	5.4449e-34	10.898	0	0	0	10.655	10.655	6.4391	6.4391
7	22	1	L	-75.2567061797	2.0722e-33	10.889	0	0	0	8.1009	28.832	6.4397	22.92
7	23	1	i	-48.2452095719	1.1152e-21	8	8	8	8	1	1	1	1
7	23	1	a	-46.0380850608	1.0137e-20	8	8	8	8	0	9.1027	0	9.1027
7	23	1	b	-43.3849901867	1.4393e-19	7.0002	1000	7.0002	1000	1	1	1	1
7	23	1	l	-43.2682741051	1.6174e-19	7.0002	1000	7.0002	1000	1.1238	0	1.1238	0
7	23	1	I	-47.3096273533	2.8424e-21	8.9941	8.9941	0	0	1	1	0.97154	0.97154
7	23	1	A	-45.1053758106	2.5762e-20	8.9909	8.9909	0	0	0	9.0766	0	1000
7	23	1	B	-42.5666801054	3.2623e-19	7.8695	1000	7.8695e-07	1e-04	1.0001	1.0001	0	0
7	23	1	L	-42.4496448645	3.6674e-19	7.8698	1000	7.8698e-07	1e-04	1.1243	0	0	0
7	24	1	i	-48.2452095719	1.1152e-21	8	8	8	8	1	1	1	1
7	24	1	a	-46.0380850608	1.0137e-20	8	8	8	8	0	9.1027	0	9.1027
7	24	1	b	-43.3849901867	1.4393e-19	7.0002	1000	7.0002	1000	1	1	1	1
7	24	1	l	-43.2682741051	1.6174e-19	7.0002	1000	7.0002	1000	1.1238	0	1.1238	0
7	24	1	I	-47.3096273533	2.8424e-21	8.9941	8.9941	0	0	1	1	0.97154	0.97154
7	24	1	A	-45.1053758106	2.5762e-20	8.9909	8.9909	0	0	0	9.0766	0	1000
7	24	1	B	-42.5666801054	3.2623e-19	7.8695	1000	7.8695e-07	1e-04	1.0001	1.0001	0	0
