Event1    	Event2    	Tree      	Model	lnML          	ML            	mu1 	mu1star	nu1 	nu1star	mu2 	mu2star	nu2 	nu2star
64        	65        	1         	l    	-51.1561307673	6.0698e-23    	14  	-   	14  	-   	0   	1000	0   	1000
64        	66        	1         	l    	-51.1561307673	6.0698e-23    	14  	-   	14  	-   	0   	1000	0   	1000
64        	67        	1         	l    	-51.1561307673	6.0698e-23    	14  	-   	14  	-   	0   	1000	0   	1000
64        	80        	1         	l    	-55.7241747564	6.2994e-25    	13.011	1000	13.011	1000	10.557	1.1046	10.557	1.1046
64        	81        	1         	l    	-55.7241747564	6.2994e-25    	13.011	1000	13.011	1000	10.557	1.1046	10.557	1.1046
64        	82        	1         	l    	-55.7241747564	6.2994e-25    	13.011	1000	13.011	1000	10.557	1.1046	10.557	1.1046
44        	65        	1         	l    	-94.2240763283	1.1995e-41    	4.6557	14.009	4.6557	14.009	14.001	0   	14.001	0   
65        	66        	1         	l    	-51.1561307673	6.0698e-23    	14  	-   	14  	-   	0   	1000	0   	1000
65        	67        	1         	l    	-51.1561307673	6.0698e-23    	14  	-   	14  	-   	0   	1000	0   	1000
65        	80        	1         	l    	-55.7241747564	6.2994e-25    	13.011	1000	13.011	1000	10.557	1.1046	10.557	1.1046
65        	81        	1         	l    	-55.7241747564	6.2994e-25    	13.011	1000	13.011	1000	10.557	1.1046	10.557	1.1046
65        	82        	1         	l    	-55.7241747564	6.2994e-25    	13.011	1000	13.011	1000	10.557	1.1046	10.557	1.1046
44        	66        	1         	l    	-94.2240763283	1.1995e-41    	4.6557	14.009	4.6557	14.009	14.001	0   	14.001	0   
66        	67        	1         	l    	-51.1561307673	6.0698e-23    	14  	-   	14  	-   	0   	1000	0   	1000
66        	80        	1         	l    	-55.7241747564	6.2994e-25    	13.011	1000	13.011	1000	10.557	1.1046	10.557	1.1046
66        	81        	1         	l    	-55.7241747564	6.2994e-25    	13.011	1000	13.011	1000	10.557	1.1046	10.557	1.1046
66        	82        	1         	l    	-55.7241747564	6.2994e-25    	13.011	1000	13.011	1000	10.557	1.1046	10.557	1.1046
44        	67        	1         	l    	-94.2240763283	1.1995e-41    	4.6557	14.009	4.6557	14.009	14.001	0   	14.001	0   
67        	80        	1         	l    	-55.7241747564	6.2994e-25    	13.011	1000	13.011	1000	10.557	1.1046	10.557	1.1046
67        	81        	1         	l    	-55.7241747564	6.2994e-25    	13.011	1000	13.011	1000	10.557	1.1046	10.557	1.1046
67        	82        	1         	l    	-55.7241747564	6.2994e-25    	13.011	1000	13.011	1000	10.557	1.1046	10.557	1.1046
68        	69        	1         	l    	-11.7963729103	7.5318e-06    	2   	-   	2   	-   	0   	1000	0   	1000
68        	70        	1         	l    	-11.7963729103	7.5318e-06    	2   	-   	2   	-   	0   	1000	0   	1000
68        	71        	1         	l    	-11.7963729103	7.5318e-06    	2   	-   	2   	-   	0   	1000	0   	1000
68        	72        	1         	l    	-11.7963729103	7.5318e-06    	2   	-   	2   	-   	0   	1000	0   	1000
68        	73        	1         	l    	-11.7963729103	7.5318e-06    	2   	-   	2   	-   	0   	1000	0   	1000
68        	74        	1         	l    	-11.7963729103	7.5318e-06    	2   	-   	2   	-   	0   	1000	0   	1000
68        	75        	1         	l    	-11.7963729103	7.5318e-06    	2   	-   	2   	-   	0   	1000	0   	1000
68        	76        	1         	l    	-11.7963729103	7.5318e-06    	2   	-   	2   	-   	0   	1000	0   	1000
68        	77        	1         	l    	-11.7963729103	7.5318e-06    	2   	-   	2   	-   	0   	1000	0   	1000
68        	78        	1         	l    	-14.7313547963	4.0018e-07    	1.0401	25.914	1.0401	25.914	1.0005	1000	1.0005	1000
69        	70        	1         	l    	-11.7963729103	7.5318e-06    	2   	-   	2   	-   	0   	1000	0   	1000
69        	71        	1         	l    	-11.7963729103	7.5318e-06    	2   	-   	2   	-   	0   	1000	0   	1000
69        	72        	1         	l    	-11.7963729103	7.5318e-06    	2   	-   	2   	-   	0   	1000	0   	1000
69        	73        	1         	l    	-11.7963729103	7.5318e-06    	2   	-   	2   	-   	0   	1000	0   	1000
69        	74        	1         	l    	-11.7963729103	7.5318e-06    	2   	-   	2   	-   	0   	1000	0   	1000
69        	75        	1         	l    	-11.7963729103	7.5318e-06    	2   	-   	2   	-   	0   	1000	0   	1000
69        	76        	1         	l    	-11.7963729103	7.5318e-06    	2   	-   	2   	-   	0   	1000	0   	1000
69        	77        	1         	l    	-11.7963729103	7.5318e-06    	2   	-   	2   	-   	0   	1000	0   	1000
69        	78        	1         	l    	-14.7313547963	4.0018e-07    	1.0401	25.914	1.0401	25.914	1.0005	1000	1.0005	1000
70        	71        	1         	l    	-11.7963729103	7.5318e-06    	2   	-   	2   	-   	0   	1000	0   	1000
70        	72        	1         	l    	-11.7963729103	7.5318e-06    	2   	-   	2   	-   	0   	1000	0   	1000
70        	73        	1         	l    	-11.7963729103	7.5318e-06    	2   	-   	2   	-   	0   	1000	0   	1000
70        	74        	1         	l    	-11.7963729103	7.5318e-06    	2   	-   	2   	-   	0   	1000	0   	1000
70        	75        	1         	l    	-11.7963729103	7.5318e-06    	2   	-   	2   	-   	0   	1000	0   	1000
70        	76        	1         	l    	-11.7963729103	7.5318e-06    	2   	-   	2   	-   	0   	1000	0   	1000
70        	77        	1         	l    	-11.7963729103	7.5318e-06    	2   	-   	2   	-   	0   	1000	0   	1000
70        	78        	1         	l    	-14.7313547963	4.0018e-07    	1.0401	25.914	1.0401	25.914	1.0005	1000	1.0005	1000
71        	72        	1         	l    	-11.7963729103	7.5318e-06    	2   	-   	2   	-   	0   	1000	0   	1000
71        	73        	1         	l    	-11.7963729103	7.5318e-06    	2   	-   	2   	-   	0   	1000	0   	1000
71        	74        	1         	l    	-11.7963729103	7.5318e-06    	2   	-   	2   	-   	0   	1000	0   	1000
71        	75        	1         	l    	-11.7963729103	7.5318e-06    	2   	-   	2   	-   	0   	1000	0   	1000
71        	76        	1         	l    	-11.7963729103	7.5318e-06    	2   	-   	2   	-   	0   	1000	0   	1000
71        	77        	1         	l    	-11.7963729103	7.5318e-06    	2   	-   	2   	-   	0   	1000	0   	1000
