Event1	Event2	Model1	Model2	LRT	Pvalue	combinedModels	df
7	16	A	L	8.94677326780001	0.00278	AL	1
7	16	B	L	0.702547245800005	0.4019	BL	1
7	22	i	a	2.89544694859998	0.08883	ia	1
7	22	i	b	2.6232934256	0.1053	ib	1
7	22	i	l	5.51874037419998	0.06333	il	2
7	22	i	I	2.1917311782	0.3343	iI	2
7	22	a	l	2.6232934256	0.1053	al	1
7	22	a	A	1.9736968414	0.3727	aA	2
7	22	b	l	2.89544694859998	0.08883	bl	1
7	22	b	B	2.568515655	0.2769	bB	2
7	22	l	L	2.3460904826	0.3094	lL	2
7	22	I	A	2.67741261179998	0.1018	IA	1
7	22	I	B	3.00007790239999	0.08326	IB	1
7	22	I	L	5.67309967859998	0.05863	IL	2
7	22	A	L	2.9956870668	0.08349	AL	1
7	22	B	L	2.67302177619999	0.1021	BL	1
7	23	i	a	4.4142490222	0.03564	ia	1
7	23	i	b	9.72043877039999	0.001822	ib	1
7	23	i	l	9.9538709336	0.006895	il	2
7	23	i	I	1.87116443719999	0.3924	iI	2
7	23	a	l	5.5396219114	0.01859	al	1
7	23	a	A	1.8654185004	0.3935	aA	2
7	23	b	l	0.233432163200007	0.629	bl	1
7	23	b	B	1.6366201626	0.4412	bB	2
7	23	l	L	1.63725848119999	0.441	lL	2
7	23	I	A	4.4085030854	0.03576	IA	1
7	23	I	B	9.4858944958	0.002071	IB	1
7	23	I	L	9.7199649776	0.007751	IL	2
7	23	A	L	5.3114618922	0.02119	AL	1
7	23	B	L	0.234070481800003	0.6285	BL	1
7	24	i	a	4.4142490222	0.03564	ia	1
7	24	i	b	9.72043877039999	0.001822	ib	1
7	24	i	l	9.9538709336	0.006895	il	2
7	24	i	I	1.87116443719999	0.3924	iI	2
7	24	a	l	5.5396219114	0.01859	al	1
7	24	a	A	1.8654185004	0.3935	aA	2
7	24	b	l	0.233432163200007	0.629	bl	1
7	24	b	B	1.6366201626	0.4412	bB	2
7	24	l	L	1.63725848119999	0.441	lL	2
7	24	I	A	4.4085030854	0.03576	IA	1
7	24	I	B	9.4858944958	0.002071	IB	1
7	24	I	L	9.7199649776	0.007751	IL	2
7	24	A	L	5.3114618922	0.02119	AL	1
7	24	B	L	0.234070481800003	0.6285	BL	1
